AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2014,22,QUERETARO,HOMICIDIO,CULPOSO,40,30,25,15,24,19,29,22,39,28,39,24
2014,22,QUERETARO,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,3,2,1,1,1
2014,22,QUERETARO,EXTORSION,EXTORSION,7,0,0,0,1,0,1,0,0,1,0,0
2014,23,QUINTANA ROO,HOMICIDIO,DOLOSO,18,8,21,18,16,15,9,14,14,11,23,19
2014,23,QUINTANA ROO,HOMICIDIO,CULPOSO,28,31,29,30,26,25,28,30,15,26,20,30
2014,23,QUINTANA ROO,SECUESTRO,SECUESTRO,1,0,1,0,2,0,1,0,0,3,0,3
2014,23,QUINTANA ROO,EXTORSION,EXTORSION,22,24,8,39,29,17,17,27,15,19,13,11
2014,24,SAN LUIS POTOSI,HOMICIDIO,DOLOSO,26,15,25,20,16,25,21,22,16,21,19,20
2014,24,SAN LUIS POTOSI,HOMICIDIO,CULPOSO,16,25,10,13,9,8,8,5,5,3,7,5
2014,24,SAN LUIS POTOSI,SECUESTRO,SECUESTRO,1,1,0,0,2,1,0,1,0,2,7,0
2014,24,SAN LUIS POTOSI,EXTORSION,EXTORSION,0,21,13,6,8,8,4,2,8,6,4,4
2014,25,SINALOA,HOMICIDIO,DOLOSO,98,80,97,89,121,82,54,66,60,73,60,106
2014,25,SINALOA,HOMICIDIO,CULPOSO,46,52,55,79,52,55,37,44,33,50,46,51
2014,25,SINALOA,SECUESTRO,SECUESTRO,2,3,2,1,3,0,0,2,4,1,0,3
2014,25,SINALOA,EXTORSION,EXTORSION,6,8,24,8,10,8,14,5,17,15,11,13
2014,26,SONORA,HOMICIDIO,DOLOSO,56,45,61,49,64,39,32,49,34,59,40,40
2014,26,SONORA,HOMICIDIO,CULPOSO,48,29,43,56,40,39,24,32,26,40,27,48
2014,26,SONORA,SECUESTRO,SECUESTRO,1,1,1,1,2,1,2,2,0,0,0,1
2014,26,SONORA,EXTORSION,EXTORSION,0,3,0,3,4,2,0,1,1,4,7,3
2014,27,TABASCO,HOMICIDIO,DOLOSO,16,9,16,15,17,20,13,13,17,15,17,10
2014,27,TABASCO,HOMICIDIO,CULPOSO,30,28,40,36,39,38,26,39,32,51,30,48
2014,27,TABASCO,SECUESTRO,SECUESTRO,14,13,12,8,13,8,7,9,4,5,6,7
2014,27,TABASCO,EXTORSION,EXTORSION,17,18,10,14,15,9,14,16,18,14,1,7
2014,28,TAMAULIPAS,HOMICIDIO,DOLOSO,67,86,57,128,168,85,57,67,66,80,44,42
2014,28,TAMAULIPAS,HOMICIDIO,CULPOSO,41,51,54,69,63,58,83,123,58,76,70,92
2014,28,TAMAULIPAS,SECUESTRO,SECUESTRO,26,36,41,44,30,42,121,106,33,33,26,25
2014,28,TAMAULIPAS,EXTORSION,EXTORSION,25,32,30,14,18,16,26,29,23,18,10,11
2014,29,TLAXCALA,HOMICIDIO,DOLOSO,6,8,5,7,5,7,8,8,4,2,3,3
2014,29,TLAXCALA,HOMICIDIO,CULPOSO,24,24,34,21,22,25,30,23,34,25,20,26
2014,29,TLAXCALA,SECUESTRO,SECUESTRO,1,0,0,0,0,0,0,1,0,1,2,2
2014,29,TLAXCALA,EXTORSION,EXTORSION,0,2,0,1,0,2,0,1,0,1,0,0
2014,30,VERACRUZ,HOMICIDIO,DOLOSO,27,49,41,63,48,85,47,49,43,43,42,32
2014,30,VERACRUZ,HOMICIDIO,CULPOSO,57,39,33,59,45,48,46,49,44,42,47,52
2014,30,VERACRUZ,SECUESTRO,SECUESTRO,10,14,18,26,14,19,11,12,9,10,8,7
2014,30,VERACRUZ,EXTORSION,EXTORSION,12,24,40,40,21,19,17,24,19,16,15,13
2014,31,YUCATAN,HOMICIDIO,DOLOSO,0,2,4,2,3,4,8,3,3,7,3,3
2014,31,YUCATAN,HOMICIDIO,CULPOSO,6,12,4,6,5,4,6,2,5,4,5,3
2014,31,YUCATAN,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0
2014,31,YUCATAN,EXTORSION,EXTORSION,9,5,4,8,4,4,2,2,2,2,9,7
2014,32,ZACATECAS,HOMICIDIO,DOLOSO,8,8,6,10,13,3,7,11,12,20,18,12
2014,32,ZACATECAS,HOMICIDIO,CULPOSO,11,21,18,18,4,8,14,13,11,18,12,18
2014,32,ZACATECAS,SECUESTRO,SECUESTRO,3,3,2,2,2,0,1,1,2,0,0,1
2014,32,ZACATECAS,EXTORSION,EXTORSION,1,0,7,12,7,5,4,8,7,8,6,6
2015,1,AGUASCALIENTES,HOMICIDIO,DOLOSO,7,1,4,4,4,4,3,3,4,2,3,2
2015,1,AGUASCALIENTES,HOMICIDIO,CULPOSO,17,22,13,19,14,12,16,11,24,17,7,16
2015,1,AGUASCALIENTES,SECUESTRO,SECUESTRO,0,0,1,1,0,0,0,1,0,1,1,0
2015,1,AGUASCALIENTES,EXTORSION,EXTORSION,2,4,1,5,8,2,1,3,2,7,5,2
2015,2,BAJA CALIFORNIA,HOMICIDIO,DOLOSO,52,59,62,69,80,84,79,91,93,79,85,73
2015,2,BAJA CALIFORNIA,HOMICIDIO,CULPOSO,28,28,42,37,19,32,44,40,36,46,42,39
2015,2,BAJA CALIFORNIA,SECUESTRO,SECUESTRO,3,1,0,8,3,2,1,1,0,0,2,0
